Customer_ID,Customer_Name,Gender,Age,City,State,Customer_Segment
C00001,Meera Patel,Female,48,Kolkata,West Bengal,New Patient
C00002,Suresh Bhat,Male,18,Chennai,Tamil Nadu,Chronic Patient
C00003,Neha Verma,Female,47,Jaipur,Rajasthan,New Patient
C00004,Sameer Kapoor,Male,25,New Delhi,Delhi,New Patient
C00005,Manish Agarwal,Male,53,New Delhi,Delhi,New Patient
C00006,Nisha Mehta,Female,41,Jaipur,Rajasthan,New Patient
C00007,Rekha Reddy,Female,38,Gurugram,Haryana,New Patient
C00008,Saanvi Rao,Female,70,Kanpur,Uttar Pradesh,Regular Patient
C00009,Ira Das,Female,80,Lucknow,Uttar Pradesh,Regular Patient
C00010,Aryan Mehta,Male,21,Ahmedabad,Gujarat,Chronic Patient
C00011,Shreya Iyer,Female,38,Bengaluru,Karnataka,Chronic Patient
C00012,Shreya Shah,Female,57,New Delhi,Delhi,Regular Patient
C00013,Preeti Singh,Female,50,Jaipur,Rajasthan,Regular Patient
C00014,Diya Chauhan,Female,56,Ahmedabad,Gujarat,Chronic Patient
C00015,Arjun Ahmed,Male,42,Indore,Madhya Pradesh,Regular Patient
C00016,Kabir Chatterjee,Male,63,Chennai,Tamil Nadu,New Patient
C00017,Sneha Singh,Female,47,Bengaluru,Karnataka,Regular Patient
C00018,Siddharth Chauhan,Male,51,Hyderabad,Telangana,New Patient
C00019,Ananya Naidu,Female,26,Ahmedabad,Gujarat,Regular Patient
C00020,Tanya Mehta,Female,45,Mysuru,Karnataka,New Patient
C00021,Shreya Patel,Female,57,Jaipur,Rajasthan,Chronic Patient
C00022,Deepa Verma,Female,49,Chennai,Tamil Nadu,Chronic Patient
C00023,Vivaan Das,Male,76,Gurugram,Haryana,New Patient
C00024,Yash Banerjee,Male,46,Bengaluru,Karnataka,New Patient
C00025,Divya Das,Female,52,Chennai,Tamil Nadu,New Patient
C00026,Saanvi Mehta,Female,47,Gurugram,Haryana,Chronic Patient
C00027,Varun Mehta,Male,43,Kolkata,West Bengal,Chronic Patient
C00028,Nisha Das,Female,58,Hyderabad,Telangana,Regular Patient
C00029,Reyansh Pillai,Male,42,Bhopal,Madhya Pradesh,Premium Patient
C00030,Naveen Iyer,Male,25,Mumbai,Maharashtra,Chronic Patient
C00031,Suresh Bose,Male,69,Kochi,Kerala,New Patient
C00032,Kriti Chatterjee,Female,34,Gurugram,Haryana,Regular Patient
C00033,Preeti Sharma,Female,20,Bhubaneswar,Odisha,Premium Patient
C00034,Aisha Naidu,Female,54,Kochi,Kerala,New Patient
C00035,Riya Iyer,Female,71,Bhubaneswar,Odisha,Chronic Patient
C00036,Aarav Bhat,Male,54,Lucknow,Uttar Pradesh,New Patient
C00037,Anjali Desai,Female,66,Mumbai,Maharashtra,New Patient
C00038,Naveen Malhotra,Male,30,Chennai,Tamil Nadu,Premium Patient
C00039,Aryan Rao,Male,25,Mumbai,Maharashtra,Chronic Patient
C00040,Varun Desai,Male,38,Pune,Maharashtra,Chronic Patient
C00041,Kriti Kumar,Female,61,Vijayawada,Andhra Pradesh,Premium Patient
C00042,Ayaan Banerjee,Male,53,Chennai,Tamil Nadu,New Patient
C00043,Kavya Verma,Female,54,Nagpur,Maharashtra,Chronic Patient
C00044,Arjun Gupta,Male,46,Kanpur,Uttar Pradesh,Regular Patient
C00045,Deepa Naidu,Female,39,Indore,Madhya Pradesh,Chronic Patient
C00046,Divya Naidu,Female,47,Bhopal,Madhya Pradesh,New Patient
C00047,Aryan Bose,Male,41,Howrah,West Bengal,Regular Patient
C00048,Deepa Bhat,Female,37,Hyderabad,Telangana,Premium Patient
C00049,Tanya Chauhan,Female,50,Chennai,Tamil Nadu,Chronic Patient
C00050,Anjali Chatterjee,Female,40,Mumbai,Maharashtra,Regular Patient
C00051,Vivaan Sharma,Male,48,Coimbatore,Tamil Nadu,New Patient
C00052,Kavya Sharma,Female,18,Bengaluru,Karnataka,New Patient
C00053,Rohan Gupta,Male,47,Vijayawada,Andhra Pradesh,Chronic Patient
C00054,Ira Pillai,Female,40,Mysuru,Karnataka,Chronic Patient
C00055,Ishaan Naidu,Male,67,Kanpur,Uttar Pradesh,Chronic Patient
C00056,Yash Joshi,Male,20,Chennai,Tamil Nadu,Premium Patient
C00057,Gaurav Bose,Male,46,Kolkata,West Bengal,Chronic Patient
C00058,Karthik Singh,Male,58,Jaipur,Rajasthan,New Patient
C00059,Anil Verma,Male,42,Kolkata,West Bengal,Regular Patient
C00060,Myra Verma,Female,39,Mysuru,Karnataka,Premium Patient
C00061,Naveen Iyer,Male,58,Kanpur,Uttar Pradesh,Regular Patient
C00062,Nikhil Nair,Male,52,Vijayawada,Andhra Pradesh,New Patient
C00063,Rohan Ahmed,Male,53,Chandigarh,Punjab,New Patient
C00064,Preeti Ahmed,Female,37,Chennai,Tamil Nadu,Regular Patient
C00065,Shreya Khan,Female,36,Kochi,Kerala,New Patient
C00066,Vikram Ahmed,Male,48,Hyderabad,Telangana,New Patient
C00067,Rahul Rao,Male,59,Surat,Gujarat,Regular Patient
C00068,Ananya Das,Female,23,New Delhi,Delhi,Premium Patient
C00069,Siddharth Kaur,Male,42,Ahmedabad,Gujarat,Regular Patient
C00070,Sunita Bhat,Female,36,Indore,Madhya Pradesh,Regular Patient
C00071,Sunita Menon,Female,44,Chandigarh,Punjab,Regular Patient
C00072,Vihaan Joshi,Male,56,Coimbatore,Tamil Nadu,Regular Patient
C00073,Riya Verma,Female,31,Chennai,Tamil Nadu,New Patient
C00074,Siddharth Ahmed,Male,54,Surat,Gujarat,Regular Patient
C00075,Anjali Gupta,Female,38,Kolkata,West Bengal,New Patient
C00076,Ira Chauhan,Female,62,Indore,Madhya Pradesh,New Patient
C00077,Aisha Joshi,Female,32,Mysuru,Karnataka,Regular Patient
C00078,Aryan Gupta,Male,59,Jaipur,Rajasthan,Regular Patient
C00079,Sameer Kumar,Male,24,Bengaluru,Karnataka,Regular Patient
C00080,Sunita Kumar,Female,47,Patna,Bihar,New Patient
C00081,Suresh Malhotra,Male,54,Mumbai,Maharashtra,Regular Patient
C00082,Vikram Mishra,Male,32,Jaipur,Rajasthan,Regular Patient
C00083,Yash Iyer,Male,18,Indore,Madhya Pradesh,Regular Patient
C00084,Kabir Nair,Male,37,Indore,Madhya Pradesh,New Patient
C00085,Aisha Patel,Female,45,Chennai,Tamil Nadu,Premium Patient
C00086,Harish Naidu,Male,39,Coimbatore,Tamil Nadu,New Patient
C00087,Rekha Malhotra,Female,35,Gurugram,Haryana,Regular Patient
C00088,Shreya Shah,Female,58,New Delhi,Delhi,Chronic Patient
C00089,Aisha Nair,Female,64,Bengaluru,Karnataka,New Patient
C00090,Anil Naidu,Male,63,Mysuru,Karnataka,Premium Patient
C00091,Ishaan Agarwal,Male,51,Mysuru,Karnataka,Regular Patient
C00092,Naveen Mehta,Male,54,Hyderabad,Telangana,Chronic Patient
C00093,Siddharth Ahmed,Male,30,Bhopal,Madhya Pradesh,New Patient
C00094,Harish Mehta,Male,43,Kanpur,Uttar Pradesh,Chronic Patient
C00095,Reyansh Malhotra,Male,46,Gurugram,Haryana,Regular Patient
C00096,Pooja Naidu,Female,49,Hyderabad,Telangana,New Patient
C00097,Myra Gupta,Female,49,Surat,Gujarat,Regular Patient
C00098,Saanvi Naidu,Female,45,Mumbai,Maharashtra,Chronic Patient
C00099,Varun Nair,Male,51,Kochi,Kerala,Regular Patient
